Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
West Virginia,2016,22,6/4/2016,406,359,,92,11,10,,26,,,,90,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2016,23,6/11/2016,406,360,10,70,23,17,,33,,,,71,18,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2016,24,6/18/2016,413,368,,96,16,16,,28,,10,,82,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,25,6/25/2016,426,373,,84,21,10,,39,,,,82,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2016,26,7/2/2016,389,356,,84,25,23,,22,,,12,80,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,27,7/9/2016,431,380,,88,14,17,10,26,,,13,100,18,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,28,7/16/2016,398,360,,76,16,15,,28,,,10,91,15,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,29,7/23/2016,403,358,,97,11,,,21,,11,12,98,18,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2016,30,7/30/2016,415,375,,74,19,17,11,23,,10,10,100,11,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2016,31,8/6/2016,359,310,,83,10,14,,21,,,,79,21,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2016,32,8/13/2016,383,342,,72,16,11,,36,,,,79,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2016,33,8/20/2016,396,352,,95,14,16,,38,,10,,72,19,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,34,8/27/2016,379,334,,87,18,,,21,,10,,81,20,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,35,9/3/2016,419,384,,90,15,21,,28,,10,,92,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,36,9/10/2016,420,364,,99,16,15,,30,,11,,80,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,37,9/17/2016,401,359,,88,19,,,24,,14,,83,26,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,38,9/24/2016,434,396,,83,20,,11,32,,21,11,83,20,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,
West Virginia,2016,39,10/1/2016,396,343,,86,10,14,,28,,10,13,76,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2016,40,10/8/2016,432,374,,87,11,17,,26,,11,,88,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,41,10/15/2016,418,377,,92,13,16,,35,,10,15,80,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2016,42,10/22/2016,414,356,,84,17,11,,27,,10,,75,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2016,43,10/29/2016,424,384,,90,19,,11,34,,11,12,95,14,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,
West Virginia,2016,44,11/5/2016,436,392,,98,17,17,,34,,,,88,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2016,45,11/12/2016,430,377,,86,17,14,,31,,,13,81,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,46,11/19/2016,408,369,,86,22,12,,22,,14,10,90,25,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2016,47,11/26/2016,438,394,,111,19,11,,25,,,19,96,11,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,48,12/3/2016,436,379,,100,18,12,,30,,13,15,79,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2016,49,12/10/2016,459,412,,100,17,22,,29,,,17,104,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,50,12/17/2016,464,417,12,98,23,20,13,26,10,12,17,79,15,,,,,,,,,,,,,,,,,
West Virginia,2016,51,12/24/2016,416,368,,75,,18,10,35,,,15,93,16,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2016,52,12/31/2016,458,406,,79,19,20,13,50,,,19,99,12,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,1,1/7/2017,474,429,,87,12,20,15,45,,,,103,28,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,2,1/14/2017,513,445,,85,18,14,,42,,11,18,105,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,3,1/21/2017,483,424,,84,11,15,11,42,,,,110,18,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,4,1/28/2017,458,407,,86,17,21,,39,,10,14,100,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,5,2/4/2017,478,432,,93,12,22,11,37,,12,12,107,22,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,6,2/11/2017,460,403,,92,18,13,12,37,,,,96,28,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,7,2/18/2017,461,421,,89,16,11,10,44,,12,16,105,20,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,8,2/25/2017,466,415,,79,19,18,,39,,11,10,93,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,9,3/4/2017,426,378,,83,18,14,11,31,,,11,92,13,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,10,3/11/2017,437,390,,89,19,14,15,29,,11,17,82,15,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,11,3/18/2017,462,427,,94,17,12,12,31,,,11,105,21,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,12,3/25/2017,480,438,,98,10,22,14,47,,,11,103,16,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,13,4/1/2017,481,431,12,87,16,17,13,44,,,,92,23,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,14,4/8/2017,468,398,,82,16,14,11,38,,13,12,92,18,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,15,4/15/2017,481,418,,88,17,14,,38,,,17,99,30,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,16,4/22/2017,422,375,,83,14,10,,35,,,12,84,25,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,17,4/29/2017,398,351,,76,12,12,,36,,,,87,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,18,5/6/2017,424,364,,85,28,,10,27,,,,88,20,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,19,5/13/2017,402,355,,68,19,12,,30,,,11,86,15,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,20,5/20/2017,392,344,,74,11,11,,35,,,11,88,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,21,5/27/2017,373,330,,74,,11,,32,,,,76,28,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,22,6/3/2017,407,363,,82,14,13,,30,,,,101,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,23,6/10/2017,411,358,,83,12,10,,42,,,,72,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,24,6/17/2017,387,344,,107,13,11,,25,,,11,78,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,25,6/24/2017,401,355,,73,11,11,,23,,,17,89,22,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,26,7/1/2017,383,331,,88,10,14,,16,,,,84,11,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,27,7/8/2017,411,358,,86,15,,,37,,,11,75,17,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,28,7/15/2017,401,351,10,92,11,14,,25,,,10,74,20,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,29,7/22/2017,375,326,,72,,10,,32,,,11,78,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,30,7/29/2017,394,348,,88,15,11,,35,,,,84,19,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,31,8/5/2017,367,321,,85,17,12,,20,,10,,78,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2017,32,8/12/2017,359,308,,75,14,11,,21,,,,70,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,33,8/19/2017,443,398,,98,17,15,11,26,,,13,91,18,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,34,8/26/2017,424,378,,94,19,12,15,22,,10,10,86,22,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,35,9/2/2017,396,357,,88,11,13,,25,,,,95,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,36,9/9/2017,404,350,,77,17,,,17,,13,13,88,17,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,37,9/16/2017,394,359,,80,15,,,27,,11,15,87,16,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,38,9/23/2017,393,359,,90,15,10,,25,,,13,88,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,39,9/30/2017,399,364,,91,16,16,,24,,,10,83,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,40,10/7/2017,439,386,,87,21,14,,31,,,,98,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,41,10/14/2017,451,388,,98,17,22,,33,,,12,85,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,42,10/21/2017,417,371,,94,23,23,,26,,,,78,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,43,10/28/2017,437,390,,99,11,13,,39,,12,10,71,22,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,44,11/4/2017,430,381,11,86,15,12,11,27,,11,14,92,23,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,45,11/11/2017,473,428,,106,19,15,,32,,12,11,101,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,46,11/18/2017,460,398,,79,23,,,34,,,13,93,19,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2017,47,11/25/2017,431,386,,93,31,,,23,,16,,99,17,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2017,48,12/2/2017,419,378,,81,16,19,,33,10,,,83,21,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2017,49,12/9/2017,464,411,,89,30,21,,30,,10,,92,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2017,50,12/16/2017,491,445,,97,21,17,10,39,,11,14,101,27,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2017,51,12/23/2017,490,435,,102,25,17,,36,,12,14,89,25,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2017,52,12/30/2017,490,450,,85,28,22,12,45,,,17,96,30,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,1,1/6/2018,603,550,,93,28,19,25,57,11,15,16,134,24,,,,,Suppressed (counts 1-9),,,,,,,,,,,,
West Virginia,2018,2,1/13/2018,584,534,,109,27,18,37,38,,19,10,129,21,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2018,3,1/20/2018,569,526,,106,23,20,25,37,,14,,130,33,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,4,1/27/2018,475,447,,87,24,18,19,44,,13,12,98,23,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2018,5,2/3/2018,473,437,12,87,24,17,23,35,,12,12,91,20,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2018,6,2/10/2018,499,450,,91,17,11,17,54,,14,,99,21,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,7,2/17/2018,449,413,,106,21,14,14,37,,,10,87,16,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,8,2/24/2018,425,387,,102,11,11,,30,,10,10,93,15,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,9,3/3/2018,440,397,12,83,12,12,17,40,,,,92,13,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,10,3/10/2018,466,416,17,98,16,18,15,29,,,12,87,16,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,11,3/17/2018,458,405,,85,19,14,11,40,,12,,91,26,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,12,3/24/2018,471,420,,78,10,21,13,36,,,12,106,24,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,13,3/31/2018,448,401,12,67,18,18,13,27,,,10,106,20,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,14,4/7/2018,443,388,,84,18,15,11,28,,,11,82,30,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,15,4/14/2018,460,419,,97,18,10,14,35,,,,94,16,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,16,4/21/2018,433,397,,76,16,,10,40,,13,13,100,16,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,
West Virginia,2018,17,4/28/2018,427,389,,89,18,15,,33,,,,99,11,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,18,5/5/2018,459,408,,90,18,16,,45,,,12,105,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,19,5/12/2018,399,348,,77,28,,11,27,,,,73,19,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,20,5/19/2018,436,384,,83,20,10,,36,,11,,114,19,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,21,5/26/2018,395,349,,97,17,12,,35,,,,75,10,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,22,6/2/2018,441,400,,79,24,15,,40,,15,,93,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,23,6/9/2018,431,378,,80,20,18,,27,,,,96,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,24,6/16/2018,416,370,,103,17,18,,25,,,,83,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,25,6/23/2018,405,362,,77,13,18,,27,,,,89,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,26,6/30/2018,415,370,,77,19,14,,33,,,,98,21,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,27,7/7/2018,429,380,,101,14,12,,28,,,,99,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,28,7/14/2018,407,353,,96,,14,,27,,,,95,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,29,7/21/2018,395,358,,79,17,17,,24,,,,102,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,30,7/28/2018,408,361,,93,16,17,,29,,,,75,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,31,8/4/2018,365,325,,75,17,12,,29,,,,89,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,32,8/11/2018,403,354,,84,18,14,,26,,15,10,85,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,33,8/18/2018,389,352,,84,15,21,,34,,,,68,19,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,34,8/25/2018,379,342,,79,15,11,,20,,11,,93,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,35,9/1/2018,411,367,,87,17,10,,18,,12,13,79,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,36,9/8/2018,428,373,12,90,13,11,,20,,15,11,92,16,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,37,9/15/2018,424,366,,100,15,15,,25,,,,82,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,38,9/22/2018,421,377,,76,14,16,,28,,,12,99,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,39,9/29/2018,405,372,,85,22,14,,25,,,12,94,14,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,40,10/6/2018,424,375,,99,20,16,,30,,11,,86,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,41,10/13/2018,422,381,,94,13,14,,24,,10,10,89,15,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,42,10/20/2018,412,383,,88,18,,,25,,,,107,24,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2018,43,10/27/2018,448,402,,84,19,17,,37,,10,,77,19,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,44,11/3/2018,456,399,,83,19,12,,33,,,16,105,21,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2018,45,11/10/2018,442,398,,89,18,,,35,,10,10,99,21,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,46,11/17/2018,408,370,,78,23,13,,24,,10,,90,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2018,47,11/24/2018,424,380,,90,16,13,,34,,10,10,80,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2018,48,12/1/2018,432,379,,80,16,14,10,41,,12,12,76,16,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2018,49,12/8/2018,457,418,10,92,20,16,,29,,,15,92,19,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
